iter	Passed	Remaining
0	97	96974
1	137	68527
2	177	58825
3	216	54005
4	255	50914
5	290	48096
6	328	46567
7	365	45313
8	400	44116
9	437	43273
10	471	42377
11	507	41753
12	543	41261
13	576	40633
14	612	40220
15	653	40185
16	686	39708
17	720	39281
18	752	38877
19	790	38717
20	825	38489
21	859	38197
22	891	37881
23	925	37631
24	962	37556
25	996	37345
26	1034	37263
27	1075	37328
28	1117	37408
29	1150	37197
30	1186	37101
31	1226	37104
32	1259	36916
33	1296	36830
34	1335	36814
35	1370	36700
36	1409	36684
37	1445	36606
38	1488	36669
39	1524	36584
40	1561	36526
41	1597	36445
42	1636	36411
43	1668	36249
44	1704	36177
45	1737	36043
46	1771	35916
47	1804	35780
48	1839	35698
49	1874	35624
50	1910	35549
51	1947	35503
52	1984	35456
53	2016	35327
54	2048	35191
55	2082	35108
56	2119	35060
57	2152	34966
58	2190	34941
59	2227	34893
60	2264	34855
61	2303	34849
62	2336	34750
63	2372	34700
64	2407	34635
65	2441	34549
66	2476	34492
67	2508	34382
68	2541	34297
69	2582	34308
70	2621	34295
71	2654	34208
72	2692	34190
73	2724	34093
74	2760	34044
75	2793	33962
76	2827	33892
77	2865	33868
78	2900	33818
79	2934	33752
80	2968	33674
81	3003	33623
82	3039	33581
83	3071	33495
84	3105	33435
85	3143	33409
86	3177	33350
87	3216	33331
88	3254	33310
89	3290	33274
90	3328	33248
91	3360	33163
92	3398	33141
93	3436	33121
94	3469	33054
95	3509	33052
96	3545	33004
97	3580	32953
98	3613	32885
99	3653	32880
100	3684	32792
101	3725	32802
102	3762	32762
103	3797	32720
104	3837	32709
105	3882	32741
106	3923	32742
107	3964	32740
108	3996	32669
109	4035	32648
110	4072	32612
111	4112	32609
112	4146	32549
113	4180	32486
114	4217	32453
115	4250	32389
116	4282	32316
117	4322	32307
118	4357	32258
119	4395	32234
120	4430	32186
121	4468	32161
122	4507	32141
123	4549	32141
124	4587	32115
125	4625	32085
126	4664	32066
127	4702	32034
128	4736	31979
129	4773	31946
130	4807	31890
131	4843	31849
132	4876	31789
133	4910	31734
134	4944	31681
135	4981	31647
136	5019	31621
137	5053	31567
138	5088	31516
139	5122	31465
140	5159	31434
141	5198	31410
142	5232	31355
143	5266	31308
144	5300	31253
145	5336	31214
146	5373	31179
147	5410	31147
148	5446	31106
149	5481	31063
150	5515	31011
151	5548	30957
152	5583	30908
153	5620	30875
154	5655	30832
155	5693	30803
156	5728	30759
157	5763	30711
158	5794	30650
159	5829	30602
160	5861	30545
161	5896	30499
162	5931	30460
163	5963	30401
164	6002	30376
165	6038	30339
166	6073	30292
167	6111	30267
168	6147	30228
169	6179	30172
170	6218	30146
171	6252	30099
172	6288	30063
173	6322	30014
174	6354	29955
175	6390	29918
176	6428	29892
177	6464	29851
178	6500	29816
179	6536	29776
180	6564	29703
181	6597	29654
182	6633	29614
183	6670	29583
184	6706	29546
185	6739	29494
186	6778	29470
187	6812	29422
188	6849	29392
189	6889	29372
190	6924	29329
191	6959	29286
192	6996	29253
193	7030	29207
194	7061	29151
195	7096	29110
196	7128	29056
197	7163	29017
198	7230	29101
199	7308	29233
200	7390	29378
201	7452	29442
202	7528	29558
203	7610	29696
204	7706	29887
205	7765	29931
206	7812	29930
207	7858	29921
208	7912	29945
209	7950	29909
210	7986	29863
211	8020	29813
212	8053	29757
213	8092	29721
214	8125	29666
215	8157	29608
216	8211	29630
217	8247	29584
218	8282	29537
219	8318	29491
220	8352	29441
221	8391	29409
222	8429	29371
223	8466	29331
224	8499	29276
225	8534	29229
226	8570	29184
227	8606	29140
228	8643	29100
229	8679	29057
230	8712	29004
231	8744	28948
232	8778	28897
233	8816	28862
234	8852	28816
235	8887	28771
236	8921	28721
237	8954	28668
238	8987	28617
239	9024	28576
240	9060	28536
241	9094	28486
242	9128	28438
243	9159	28380
244	9192	28327
245	9227	28282
246	9265	28247
247	9299	28198
248	9332	28148
249	9371	28113
250	9406	28070
251	9449	28047
252	9482	27998
253	9518	27956
254	9550	27903
255	9584	27853
256	9623	27821
257	9658	27776
258	9698	27747
259	9733	27703
260	9770	27663
261	9798	27600
262	9830	27547
263	9861	27492
264	9894	27444
265	9933	27409
266	9967	27364
267	10002	27321
268	10039	27282
269	10072	27234
270	10105	27184
271	10134	27125
272	10178	27104
273	10215	27068
274	10252	27028
275	10288	26988
276	10320	26938
277	10359	26904
278	10392	26856
279	10424	26805
280	10465	26777
281	10499	26731
282	10540	26704
283	10579	26672
284	10615	26630
285	10650	26588
286	10683	26540
287	10716	26493
288	10750	26447
289	10786	26409
290	10820	26364
291	10858	26327
292	10894	26287
293	10930	26247
294	10965	26206
295	11004	26171
296	11044	26142
297	11082	26107
298	11126	26086
299	11166	26055
300	11205	26022
301	11245	25991
302	11278	25943
303	11313	25902
304	11348	25859
305	11381	25812
306	11420	25780
307	11455	25737
308	11493	25702
309	11526	25655
310	11562	25615
311	11597	25574
312	11638	25544
313	11673	25504
314	11705	25455
315	11741	25415
316	11776	25372
317	11810	25329
318	11847	25292
319	11881	25247
320	11912	25198
321	11947	25155
322	11982	25113
323	12020	25080
324	12058	25044
325	12095	25007
326	12132	24969
327	12170	24934
328	12210	24903
329	12242	24856
330	12281	24823
331	12319	24786
332	12357	24752
333	12396	24718
334	12434	24682
335	12467	24638
336	12506	24605
337	12539	24560
338	12576	24521
339	12616	24490
340	12651	24449
341	12685	24406
342	12723	24371
343	12756	24326
344	12790	24283
345	12825	24242
346	12861	24203
347	12897	24163
348	12932	24124
349	12970	24088
350	13009	24053
351	13042	24009
352	13078	23970
353	13111	23927
354	13154	23900
355	13188	23858
356	13222	23815
357	13256	23773
358	13294	23737
359	13330	23698
360	13367	23662
361	13401	23619
362	13437	23580
363	13468	23532
364	13498	23484
365	13533	23443
366	13573	23411
367	13610	23374
368	13646	23335
369	13689	23309
370	13729	23276
371	13769	23245
372	13802	23202
373	13835	23157
374	13870	23116
375	13901	23070
376	13932	23024
377	13968	22984
378	14002	22942
379	14039	22907
380	14074	22865
381	14107	22823
382	14141	22781
383	14175	22740
384	14207	22695
385	14244	22658
386	14281	22621
387	14322	22591
388	14356	22550
